,CIMS-MN-053-SH-M-N-MN-M05688-240322_S29,CIMS-MN-060-SH-K-N-MN-M05688-240322_S12,CIMS-MN-067-SH-K-N-MN-M05688-240322_S19,CIMS-MN-064-SH-M-N-MN-M05688-240322_S40,CIMS-MN-067-SH-M-N-MN-M05688-240322_S43,CIMS-MN-069-SH-K-N-MN-M05688-240322_S21,CIMS-MN-069-SH-M-N-MN-M05688-240322_S45,CIMS-MN-051-SH-M-N-MN-M05688-240322_S27,CIMS-MN-051-SH-K-N-MN-M05688-240322_S3,CIMS-MN-063-SH-M-N-MN-M05688-240322_S39,CIMS-MN-055-SH-M-N-MN-M05688-240322_S31,CIMS-MN-063-SH-K-N-MN-M05688-240322_S15,CIMS-MN-055-SH-K-N-MN-M05688-240322_S7,CIMS-MN-078-IH-MN-M05688-240322_S48
OG0001563primerGroup1,51,63,83,131,96,200,165,228,220,608,676,1014,1263,918
OG0001564primerGroup0,33,44,47,84,120,120,187,211,163,505,522,743,840,860
OG0001565primerGroup8,53,72,61,130,100,155,168,208,211,638,547,853,1009,873
OG0001566primerGroup2,19,14,12,38,32,44,55,78,47,230,238,303,286,329
OG0001567primerGroup3,17,11,14,14,27,38,50,55,46,155,235,321,332,540
OG0001568primerGroup1,41,35,20,68,60,0,0,173,114,420,481,698,645,889
OG0001569primerGroup7,16,24,15,49,41,71,62,64,72,304,333,438,438,567
OG0001571primerGroup5,56,55,57,133,111,181,187,245,237,592,550,834,1055,806
OG0001572primerGroup8,11,25,19,58,49,72,99,111,99,307,330,476,550,794
OG0001573primerGroup9,48,48,61,103,62,155,122,148,200,494,435,760,904,643
OG0001574primerGroup0,36,49,44,100,103,168,147,171,211,520,515,807,981,796
OG0001576primerGroup1,22,18,24,55,53,75,87,88,112,313,326,536,702,576
OG0001577primerGroup5,13,14,14,27,37,50,63,57,62,221,357,346,445,722
OG0001578primerGroup9,19,39,37,59,57,114,101,100,129,418,356,665,673,534
OG0001579primerGroup7,21,31,28,40,52,94,62,91,143,288,307,480,602,477
OG0001580primerGroup8,54,76,77,131,143,266,255,290,314,612,734,950,1257,1291
OG0001581primerGroup3,55,43,40,106,133,162,171,242,206,582,664,897,923,1322
OG0001582primerGroup9,12,18,18,26,19,35,38,47,39,167,235,281,320,420
OG0001583primerGroup7,69,68,77,111,106,206,202,206,245,638,655,943,1206,966
OG0001584primerGroup4,23,37,28,75,65,110,116,112,119,371,371,559,732,641
OG0001585primerGroup3,12,23,17,54,44,60,62,73,82,278,282,375,461,535
OG0001586primerGroup0,46,43,52,115,105,139,177,225,168,647,574,805,1007,718
OG0001587primerGroup0,27,56,56,105,77,153,136,172,187,488,483,757,997,828
OG0001588primerGroup4,78,77,111,130,179,291,258,317,315,814,782,1227,1537,1373
OG0001589primerGroup8,11,4,8,30,15,36,33,41,28,175,178,242,251,385
OG0001590primerGroup3,93,109,110,188,180,342,344,432,346,1000,762,1397,1793,1182
OG0001591primerGroup0,28,35,36,70,78,77,105,152,147,360,426,516,583,726
OG0001592primerGroup3,58,84,60,109,127,200,211,245,237,710,711,926,1183,1079
OG0001593primerGroup1,31,31,22,55,90,102,135,159,124,423,546,661,664,1182
OG0001594primerGroup4,55,74,68,130,136,230,260,295,229,622,789,998,1245,1224
OG0001595primerGroup4,26,30,26,51,89,83,131,166,104,411,520,639,604,886
OG0001596primerGroup9,15,9,21,28,43,27,33,85,99,165,137,267,249,277
OG0001597primerGroup0,21,26,33,51,57,104,126,155,145,409,430,611,660,1027
OG0001598primerGroup2,59,59,59,151,125,184,240,298,269,795,755,1074,1292,1026
OG0001599primerGroup2,34,56,55,102,77,170,110,166,188,455,483,765,1002,745
OG0001600primerGroup0,0,0,0,0,0,5,3,2,4,15,22,20,28,42
OG0001601primerGroup3,27,34,35,93,69,131,104,134,177,382,442,635,794,687
OG0001602primerGroup0,57,59,70,124,159,226,236,296,299,816,791,1060,1189,1289
OG0001604primerGroup0,30,40,29,65,67,125,148,190,172,403,494,676,714,831
OG0001606primerGroup0,51,52,64,101,100,158,178,207,178,603,607,848,996,882
OG0001607primerGroup2,22,20,24,46,38,70,92,121,99,312,419,487,603,687
OG0001608primerGroup2,17,20,18,40,31,77,46,82,95,249,323,422,454,433
OG0001609primerGroup4,6,16,12,36,37,38,44,77,55,204,233,253,258,460
OG0001611primerGroup5,75,76,84,158,140,298,230,303,312,836,815,1368,1591,1133
OG0001612primerGroup0,23,20,18,44,46,75,79,112,88,303,345,395,497,588
OG0001613primerGroup4,62,58,60,108,136,155,215,245,221,635,596,918,1011,900
OG0001614primerGroup0,46,35,35,86,112,143,209,214,158,535,686,783,797,1376
OG0001615primerGroup9,22,28,25,50,55,74,107,118,99,364,389,496,525,718
OG0001617primerGroup2,50,59,68,102,123,209,205,265,223,692,696,1078,1338,1020
OG0001618primerGroup0,32,38,27,82,71,121,167,183,137,515,546,745,902,897
OG0001619primerGroup3,34,32,31,59,83,118,148,161,161,418,479,605,677,754
OG0001620primerGroup2,54,66,47,125,118,166,187,219,211,557,588,902,994,938
OG0001621primerGroup6,44,53,59,124,111,132,141,186,148,514,467,769,910,750
OG0001622primerGroup9,70,67,73,146,150,210,216,314,293,833,755,1225,1365,1259
OG0001623primerGroup1,27,28,27,52,73,75,93,76,63,311,372,397,472,708
OG0001624primerGroup0,22,25,31,34,49,71,79,107,102,341,406,475,486,922
OG0001625primerGroup1,11,9,10,27,16,16,32,43,36,121,125,156,193,341
OG0001626primerGroup8,35,40,33,63,71,95,150,140,127,355,400,598,627,819
OG0001627primerGroup7,34,34,41,61,84,128,139,202,160,475,578,774,872,1040
OG0001628primerGroup0,39,55,60,109,114,117,160,194,210,618,539,873,1013,802
OG0001637primerGroup1,72,62,109,176,190,252,253,337,313,683,796,1228,1289,1245
OG0001638primerGroup6,14,12,3,13,28,31,46,41,48,137,197,214,209,331
OG0001639primerGroup0,8,8,12,20,15,31,49,48,51,126,178,207,220,392
OG0001640primerGroup2,34,49,37,54,58,128,113,141,161,366,412,508,723,537
OG0001641primerGroup3,35,32,36,82,74,88,136,181,141,423,410,507,708,591
OG0001642primerGroup4,13,9,9,27,13,41,32,54,38,184,175,250,310,303
OG0001643primerGroup0,21,34,21,31,57,71,80,109,90,249,331,488,541,681
OG0001644primerGroup5,31,31,29,98,86,115,133,138,162,394,417,577,693,758
OG0001645primerGroup4,27,31,37,69,79,86,102,135,143,331,329,537,519,696
OG0001646primerGroup1,26,19,35,47,56,79,82,99,99,319,339,436,511,597
OG0001647primerGroup9,4,7,8,17,10,18,22,27,24,100,121,166,186,313
OG0001648primerGroup7,10,16,4,19,28,33,32,36,52,133,152,216,222,316
OG0001649primerGroup1,48,48,59,73,97,118,158,211,156,528,518,721,734,868
OG0001650primerGroup2,32,46,63,80,88,134,148,180,166,474,537,781,828,924
OG0001651primerGroup6,49,45,47,82,79,129,134,190,182,539,541,711,844,925
OG0001652primerGroup5,7,20,20,33,24,55,50,72,62,258,270,359,373,505
OG0001653primerGroup0,59,58,59,133,124,197,186,234,230,587,552,913,1088,749
OG0001654primerGroup4,34,50,32,75,83,109,100,149,141,480,425,624,691,754
OG0001655primerGroup0,4,2,0,2,5,4,5,7,10,30,47,14,32,133
OG0001656primerGroup4,66,63,82,132,173,223,267,305,288,780,957,1208,1302,1837
OG0001657primerGroup2,0,0,0,0,2,0,0,4,0,13,13,18,16,21
OG0001659primerGroup1,35,29,20,74,94,126,130,159,124,422,454,612,647,681
OG0001660primerGroup3,16,11,19,26,35,0,2,69,72,194,277,364,382,673
OG0001661primerGroup4,62,76,72,175,164,243,190,313,266,932,860,1349,1394,1442
OG0001663primerGroup1,53,55,59,85,126,14,22,278,223,648,736,1051,1049,1359
OG0001664primerGroup7,51,54,70,116,111,205,197,213,238,606,520,775,1030,816
OG0001665primerGroup2,22,19,12,44,39,58,56,70,73,279,207,307,350,361
OG0001666primerGroup5,26,41,40,71,66,95,125,144,126,389,353,571,675,580
OG0001667primerGroup6,22,30,31,52,74,110,127,140,117,334,446,512,689,730
OG0001668primerGroup6,39,56,81,112,126,185,145,222,212,489,462,762,946,830
OG0001669primerGroup2,18,21,19,45,43,58,71,93,74,262,326,413,361,688
OG0001670primerGroup0,3,6,3,13,12,14,15,21,18,68,82,83,97,170
OG0001671primerGroup7,22,43,35,61,65,102,137,157,139,388,518,632,680,1072
OG0001672primerGroup6,22,16,15,36,38,44,60,57,52,206,253,283,339,483
OG0001673primerGroup0,31,23,17,54,49,78,101,130,101,351,442,482,504,905
OG0001674primerGroup6,58,60,45,110,97,143,164,225,187,587,582,852,985,772
OG0001675primerGroup9,34,37,49,78,104,126,156,177,147,484,494,679,747,689
OG0001676primerGroup0,59,53,63,109,133,173,214,253,195,588,659,856,917,1088
OG0001677primerGroup0,28,27,17,46,60,77,82,88,82,290,296,342,444,508
OG0001678primerGroup0,25,21,30,55,70,89,112,111,102,322,357,467,477,694
OG0001679primerGroup1,21,24,29,41,61,91,107,130,96,327,456,652,655,1015
OG0001681primerGroup7,27,27,27,57,74,112,120,148,128,398,481,617,619,750
OG0001682primerGroup7,15,17,9,18,30,36,51,94,55,261,288,391,360,492
OG0001683primerGroup2,44,65,54,104,78,144,147,204,187,536,522,804,939,759
OG0001684primerGroup6,145,37,83,1275,151,172,149,197,187,584,572,725,957,898
OG0001685primerGroup6,30,34,40,68,79,103,136,154,147,417,564,667,725,986
OG0001686primerGroup1,27,37,36,73,55,87,113,123,125,432,442,573,585,840
OG0001687primerGroup6,20,15,17,38,61,10,22,90,96,221,228,335,346,562
OG0001688primerGroup2,38,45,30,72,68,109,139,169,130,423,507,701,811,1140
OG0001689primerGroup3,38,31,24,53,53,102,108,130,116,308,337,538,549,718
OG0001690primerGroup6,59,47,41,114,118,154,171,182,203,584,590,843,970,964
OG0001691primerGroup6,34,28,45,81,97,117,156,165,148,471,542,636,673,767
OG0001692primerGroup0,26,33,43,61,62,101,101,133,153,403,386,596,631,899
OG0001693primerGroup1,32,33,34,78,98,100,113,196,134,360,380,611,618,879
OG0001694primerGroup5,47,70,54,136,137,174,199,206,225,609,483,784,972,704
OG0001695primerGroup0,29,36,42,86,43,114,112,149,145,399,400,580,848,593
OG0001696primerGroup0,29,46,26,52,68,106,104,141,153,466,495,706,755,879
OG0001697primerGroup8,27,44,23,91,82,126,184,192,153,480,557,720,788,1089
OG0001698primerGroup3,38,50,48,93,94,125,169,230,184,548,694,799,924,1093
OG0001699primerGroup4,50,59,64,103,149,179,211,246,232,607,656,924,1025,1007
OG0001700primerGroup1,44,46,51,66,73,117,112,181,128,421,449,688,668,819
OG0001701primerGroup3,32,37,25,66,76,99,139,166,120,423,454,564,595,1072
OG0001702primerGroup0,49,56,42,129,151,169,252,299,227,650,672,965,1021,1210
OG0001703primerGroup7,64,63,60,144,144,197,247,287,246,652,633,1103,1105,1094
OG0001704primerGroup1,35,30,44,90,80,87,104,168,113,540,432,787,580,511
OG0001705primerGroup2,47,51,43,82,85,124,147,167,156,474,483,607,771,784
OG0001706primerGroup0,46,49,31,77,82,143,133,178,165,431,475,699,847,874
OG0001707primerGroup0,52,38,58,123,135,174,192,310,211,584,796,847,965,1397
OG0001708primerGroup3,43,41,41,84,95,157,192,180,163,554,608,775,886,782
OG0001709primerGroup4,2,6,8,6,23,14,20,31,29,68,83,116,111,223
OG0001710primerGroup8,67,74,61,125,142,203,190,292,260,739,652,1023,1361,769
OG0001711primerGroup8,24,37,29,70,78,84,107,116,136,410,369,519,667,597
OG0001712primerGroup1,27,29,37,71,55,102,119,140,138,440,485,667,802,877
OG0001713primerGroup0,19,4,16,31,42,42,42,85,59,184,190,202,247,393
OG0001714primerGroup0,33,37,22,58,75,85,149,176,124,409,503,615,683,1107
OG0001715primerGroup5,17,25,24,56,59,63,99,122,106,363,471,506,540,936
OG0001716primerGroup7,31,25,30,63,50,72,89,126,102,334,417,475,634,839
OG0001717primerGroup2,28,20,31,47,40,80,70,101,96,290,267,322,478,387
OG0001718primerGroup9,35,30,37,86,91,94,150,193,156,457,535,647,731,827
OG0001719primerGroup2,39,47,49,100,85,137,133,201,167,485,483,753,884,798
OG0001720primerGroup0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001721primerGroup8,45,60,61,112,101,167,147,220,192,630,561,796,946,775
OG0001722primerGroup6,21,20,20,45,52,66,113,100,80,337,381,417,445,556
OG0001723primerGroup2,80,98,121,165,202,266,273,366,333,923,795,1348,1543,1390
OG0001724primerGroup3,45,48,44,106,135,164,184,245,225,663,723,980,1141,1357
OG0001725primerGroup0,44,58,45,106,102,126,194,200,188,571,555,811,786,1040
OG0001726primerGroup2,4,2,2,7,6,10,17,18,9,30,46,54,58,50
OG0001727primerGroup8,30,32,34,61,73,89,83,125,116,326,407,535,645,740
OG0001728primerGroup4,24,23,34,71,63,111,138,169,130,522,550,780,779,985
OG0001729primerGroup5,24,33,28,76,56,95,128,141,132,402,389,633,665,673
OG0001730primerGroup2,15,27,22,45,68,87,93,102,99,378,314,538,522,635
OG0001731primerGroup1,40,52,50,93,54,159,146,186,183,576,545,785,1052,792
OG0001732primerGroup3,83,60,52,117,139,179,202,244,206,615,635,917,1112,923
OG0001733primerGroup4,19,22,13,43,32,68,45,53,65,244,267,280,428,304
OG0001734primerGroup7,41,31,35,80,86,104,118,146,119,427,484,658,643,821
OG0001735primerGroup9,47,62,63,115,134,216,200,228,274,624,630,999,1060,1036
OG0001736primerGroup3,23,17,20,39,39,69,80,107,83,277,369,419,466,508
OG0001737primerGroup9,21,24,25,43,54,63,93,102,82,288,396,458,430,648
OG0001738primerGroup7,48,75,71,109,134,243,234,284,255,772,896,1308,1300,1694
OG0001740primerGroup3,36,33,44,91,112,134,127,186,164,492,510,716,790,758
OG0001741primerGroup1,42,41,35,74,79,125,134,154,142,473,563,792,854,913
OG0001742primerGroup1,27,27,30,39,60,78,106,122,117,383,373,450,526,777
OG0001743primerGroup6,29,40,30,74,75,3,7,142,123,434,440,584,636,749
OG0001744primerGroup0,22,34,27,3,59,106,130,136,143,363,413,525,675,756
OG0001747primerGroup1,37,32,42,88,88,156,142,178,200,508,574,798,897,1070
OG0001748primerGroup1,9,16,6,21,25,34,60,49,35,153,215,231,228,467
OG0001749primerGroup0,9,29,19,36,37,51,57,76,72,237,251,408,373,504
OG0001750primerGroup0,20,30,23,53,40,77,71,98,111,306,312,478,610,474
OG0001752primerGroup7,20,34,21,64,52,109,91,129,108,370,369,594,655,580
OG0001753primerGroup3,30,36,27,40,45,85,94,85,81,329,360,533,557,744
OG0001754primerGroup2,33,43,28,51,81,89,120,142,129,357,408,616,577,965
OG0001755primerGroup8,16,16,18,34,40,49,66,83,62,261,281,308,301,825
OG0001756primerGroup0,40,36,51,88,91,139,77,164,148,423,413,546,765,695
OG0001757primerGroup0,53,80,61,111,131,177,210,247,249,750,629,1091,1260,707
OG0001758primerGroup5,30,43,41,86,78,57,54,128,137,473,430,693,862,466
OG0001759primerGroup5,24,34,30,55,54,88,118,133,131,391,377,504,672,670
OG0001760primerGroup0,17,27,19,30,28,76,89,71,55,307,391,529,462,606
OG0001761primerGroup7,33,50,38,109,94,136,183,182,143,623,602,841,972,729
OG0001762primerGroup7,25,32,54,66,88,118,125,147,133,441,538,720,796,1213
OG0001763primerGroup3,41,46,42,94,89,125,204,213,165,588,662,830,866,1093
OG0001764primerGroup6,27,24,22,38,47,70,79,71,83,295,262,385,422,421
OG0001767primerGroup2,58,72,66,136,158,161,212,250,218,637,537,823,1035,628
OG0001768primerGroup7,56,59,61,110,146,218,254,272,246,825,705,1066,1167,1111
OG0001769primerGroup9,67,78,51,129,136,183,215,247,265,728,653,902,1014,983
OG0001770primerGroup1,42,42,53,74,133,122,172,275,198,547,514,749,829,1011
OG0001771primerGroup1,0,0,0,3,0,0,0,4,3,6,12,22,16,18
OG0001772primerGroup8,44,35,32,68,82,105,137,156,140,494,533,664,762,1025
OG0001775primerGroup4,0,4,3,5,15,20,16,15,21,61,83,89,109,165
OG0001776primerGroup6,27,23,27,58,52,97,122,166,117,363,394,454,459,810
OG0001777primerGroup1,36,43,32,82,121,104,167,206,153,484,442,654,666,836
OG0001778primerGroup0,19,11,22,35,44,41,91,88,43,254,312,274,326,853
OG0001779primerGroup9,42,49,72,107,106,175,163,223,195,548,520,756,978,960
OG0001780primerGroup6,21,23,23,26,41,63,91,75,70,266,374,390,465,764
OG0001781primerGroup1,40,43,39,86,84,127,156,181,146,478,483,693,932,961
OG0001782primerGroup1,25,43,33,66,59,118,127,139,151,402,353,592,741,552
OG0001784primerGroup7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001785primerGroup7,21,44,34,62,76,85,124,154,126,450,413,614,661,669
OG0001786primerGroup6,50,43,59,107,116,172,180,211,225,633,676,1009,997,1166
OG0001787primerGroup4,51,48,59,106,99,219,164,231,245,625,630,984,1203,1094
OG0001788primerGroup0,54,54,43,122,138,203,248,269,218,780,769,1037,1159,1187
OG0001789primerGroup9,56,55,42,97,105,133,169,228,187,608,570,726,860,955
OG0001790primerGroup0,58,75,57,112,200,211,256,299,271,840,791,1163,1311,1247
OG0001791primerGroup2,5,15,7,14,17,26,34,38,34,126,151,187,231,270
OG0001792primerGroup0,18,39,35,66,71,24,50,143,126,350,362,470,502,578
OG0001793primerGroup9,33,28,31,50,44,93,85,107,95,363,325,489,550,604
OG0001794primerGroup4,36,27,43,37,62,95,77,121,76,295,364,270,640,610
OG0001795primerGroup5,15,8,8,30,25,41,45,46,39,176,178,202,225,291
OG0001796primerGroup7,50,54,61,135,123,202,189,238,250,718,641,999,1236,1022
OG0001797primerGroup0,9,8,12,22,20,45,48,57,33,124,163,204,233,318
OG0001798primerGroup0,46,36,52,92,98,161,149,209,161,529,552,751,894,991
OG0001799primerGroup3,23,28,25,49,47,85,78,77,95,333,351,420,436,535
OG0001800primerGroup4,40,45,52,92,122,160,212,242,179,623,685,967,1139,1478
OG0001801primerGroup6,35,43,38,109,111,155,189,219,182,567,617,806,939,1081
OG0001802primerGroup1,42,59,50,114,123,196,185,213,176,615,570,872,1023,846
OG0001803primerGroup9,62,53,71,125,147,215,190,286,256,698,545,966,1132,919
OG0001804primerGroup2,33,30,22,52,67,109,111,142,92,381,427,540,644,739
OG0001805primerGroup6,41,43,57,79,87,160,182,205,193,591,575,938,1072,998
OG0001806primerGroup7,57,61,55,121,131,207,236,282,239,712,806,1059,1215,1455
OG0001807primerGroup0,42,40,41,101,99,140,196,211,166,478,575,818,827,1153
OG0001808primerGroup7,44,53,62,92,112,140,194,176,173,593,629,824,878,1084
OG0001809primerGroup0,17,25,26,53,56,87,114,121,86,342,382,458,518,806
OG0001810primerGroup1,18,16,16,27,34,58,51,77,54,237,282,340,379,442
OG0001811primerGroup6,9,14,10,27,18,32,38,51,54,13,206,44,241,312
OG0001812primerGroup2,6,8,8,10,14,16,17,28,23,87,79,129,140,264
OG0001813primerGroup2,42,48,72,111,108,159,174,269,194,591,574,914,981,948
OG0001814primerGroup2,0,9,2,2,3,2,0,9,4,125,165,192,187,276
OG0001815primerGroup6,26,26,43,60,51,86,97,141,99,336,406,516,509,841
OG0001816primerGroup0,66,74,63,113,116,265,241,248,246,715,618,942,1184,978
OG0001817primerGroup7,36,40,41,74,98,152,179,186,153,548,577,790,935,902
OG0001818primerGroup1,17,18,19,34,41,76,82,88,57,236,230,276,367,386
OG0001819primerGroup5,66,82,79,109,128,223,260,310,260,749,769,1176,1207,1172
OG0001820primerGroup8,3,0,0,2,2,5,4,6,3,16,30,33,26,58
OG0001821primerGroup3,24,36,33,91,66,98,109,123,103,373,333,449,548,521
OG0001822primerGroup9,61,43,72,116,121,186,225,249,200,636,652,862,1082,1060
OG0001823primerGroup1,44,43,47,108,110,130,142,231,169,520,536,754,763,900
OG0001824primerGroup3,20,28,24,83,64,127,121,165,180,421,462,797,724,702
OG0001825primerGroup6,21,20,13,42,59,72,101,115,72,245,310,338,379,436
OG0001826primerGroup1,47,41,46,79,77,158,148,167,161,463,467,736,822,830
OG0001827primerGroup6,65,91,83,162,158,213,267,327,276,764,652,1120,1238,1132
OG0001828primerGroup6,34,41,42,99,134,149,214,253,196,565,625,816,864,892
OG0001829primerGroup8,17,6,11,21,20,48,33,36,27,133,162,133,112,309
OG0001830primerGroup0,21,18,21,31,41,58,54,56,78,231,235,350,406,441
OG0001831primerGroup0,8,25,19,30,42,42,70,61,89,246,305,420,346,602
OG0001832primerGroup7,24,38,27,56,58,104,109,134,107,401,413,554,570,718
OG0001833primerGroup8,27,42,40,77,93,115,149,154,167,491,527,693,752,860
OG0001834primerGroup6,48,51,49,114,118,197,244,243,242,673,724,962,1040,1001
OG0001835primerGroup5,44,43,53,91,93,154,163,146,128,530,451,696,950,870
OG0001836primerGroup6,33,25,30,46,55,97,104,128,108,399,413,513,563,780
OG0001837primerGroup5,53,53,60,114,142,203,250,285,232,676,720,974,986,1614
OG0001838primerGroup1,51,48,43,89,99,147,152,182,190,485,485,791,782,1032
OG0001839primerGroup0,16,22,10,37,42,57,57,26,30,221,240,349,375,623
OG0001840primerGroup3,12,16,16,37,26,56,72,86,71,270,303,380,429,561
OG0001841primerGroup1,12,10,14,24,35,62,67,44,54,218,226,272,317,396
OG0001842primerGroup6,24,41,35,66,62,19,25,134,127,439,460,654,660,733
OG0001843primerGroup6,17,28,16,38,39,70,62,66,74,207,200,299,319,402
OG0001844primerGroup0,40,46,54,86,130,178,219,205,196,615,583,766,906,898
OG0001845primerGroup0,37,38,23,67,60,108,115,150,130,443,460,695,710,898
OG0001847primerGroup0,19,21,26,44,38,80,77,101,80,292,308,351,510,426
OG0001848primerGroup0,16,14,24,36,44,71,85,93,81,271,335,354,345,793
OG0001849primerGroup7,37,55,53,91,108,174,151,195,166,490,474,746,864,606
OG0001850primerGroup0,9,5,4,21,17,27,35,44,28,113,157,212,181,426
OG0001851primerGroup1,41,76,83,159,173,240,263,318,298,756,678,1069,1156,881
OG0001852primerGroup9,32,31,34,57,71,114,135,151,135,510,593,759,736,1082
OG0001853primerGroup7,59,60,68,114,152,214,247,251,256,755,832,1110,1131,1338
OG0001854primerGroup0,26,41,44,54,66,133,135,189,147,506,538,783,846,1001
OG0001855primerGroup8,23,31,38,53,71,76,108,143,93,350,324,377,562,475
OG0001856primerGroup7,37,46,39,93,100,121,197,219,152,550,531,642,750,830
OG0001857primerGroup4,60,56,70,141,155,175,223,236,245,633,558,862,985,862
OG0001858primerGroup0,25,22,29,50,58,121,107,109,132,276,349,506,627,625
OG0001859primerGroup6,30,27,34,60,71,112,108,143,115,365,446,582,621,721
OG0001860primerGroup0,55,60,60,107,103,184,156,228,202,500,596,880,1017,961
OG0001861primerGroup9,26,16,21,45,33,48,50,90,86,295,288,455,457,390
OG0001862primerGroup7,18,19,21,39,37,38,60,88,59,218,266,333,354,450
OG0001863primerGroup7,19,19,29,44,36,77,75,91,83,265,279,355,393,388
OG0001865primerGroup6,51,52,45,102,107,193,199,254,187,574,643,913,879,1140
OG0001866primerGroup1,57,69,66,115,150,249,233,297,268,730,793,1114,1230,1191
OG0001867primerGroup5,7,2,7,9,5,14,20,12,14,58,67,92,93,173
OG0001868primerGroup2,73,68,63,129,183,225,298,344,236,794,788,1174,1150,1512
OG0001869primerGroup1,33,36,43,58,84,97,144,164,110,490,589,704,674,1170
OG0001870primerGroup1,55,55,74,128,128,190,173,261,268,734,745,1146,1297,1109
OG0001871primerGroup9,30,33,39,67,70,131,142,142,130,400,493,681,705,992
OG0001872primerGroup9,12,12,19,40,33,51,67,100,63,231,273,328,325,499
OG0001873primerGroup0,28,49,41,70,76,112,142,163,139,393,411,567,603,647
OG0001874primerGroup1,31,43,54,66,86,141,123,167,186,475,453,689,820,749
OG0001875primerGroup1,50,43,41,99,109,149,199,223,167,646,720,803,978,1246
OG0001876primerGroup8,32,36,46,72,81,116,140,198,145,474,509,638,732,757
OG0001877primerGroup6,5,5,0,6,2,15,19,10,10,43,50,74,68,105
OG0001878primerGroup2,41,58,61,96,123,191,182,228,206,677,578,858,1019,1014
OG0001880primerGroup5,20,28,11,36,44,55,56,79,81,297,337,524,550,611
OG0001882primerGroup0,48,30,55,103,117,120,134,272,164,398,390,552,653,1119
OG0001883primerGroup7,68,74,67,120,137,202,271,306,228,687,731,1142,1186,1355
OG0001884primerGroup1,42,41,47,98,100,143,167,172,193,548,517,677,912,727
OG0001885primerGroup0,33,50,32,89,98,118,135,192,162,516,529,774,849,894
OG0001886primerGroup9,0,0,2,2,4,4,3,6,3,17,33,20,34,57
OG0001887primerGroup3,51,51,54,108,102,157,162,238,215,548,528,765,980,632
OG0001888primerGroup4,49,54,43,81,88,172,169,178,176,505,580,750,885,894
OG0001889primerGroup1,39,54,44,97,115,160,166,201,172,610,543,736,845,886
OG0001890primerGroup1,13,12,10,24,31,32,41,50,44,174,161,217,248,245
OG0001891primerGroup4,11,8,10,23,18,30,30,35,27,118,135,163,163,359
OG0001892primerGroup3,24,22,20,39,58,87,76,93,103,310,302,405,481,565
OG0001893primerGroup1,56,42,59,96,106,203,152,197,194,612,478,799,945,766
OG0001894primerGroup9,40,45,74,85,79,153,142,162,205,642,604,870,1062,1095
OG0001895primerGroup9,21,36,29,76,84,91,136,133,108,404,429,541,533,800
OG0001896primerGroup2,35,30,36,74,73,114,118,134,143,506,552,728,770,1025
OG0001897primerGroup4,16,23,19,56,45,50,68,97,75,212,261,358,420,542
OG0001898primerGroup0,36,30,33,74,70,124,157,154,150,591,606,695,876,1134
OG0001899primerGroup0,31,29,32,56,85,85,88,128,119,369,406,561,603,827
OG0001900primerGroup6,55,38,65,95,117,147,237,238,196,621,766,993,1050,1553
OG0001901primerGroup4,6,16,13,17,14,32,30,34,34,190,164,249,280,267
OG0001902primerGroup8,17,12,16,29,32,39,53,69,55,211,247,254,312,383
OG0001903primerGroup2,26,12,27,41,37,62,49,88,93,229,213,359,468,369
OG0001904primerGroup1,26,24,18,61,45,126,147,125,91,460,476,588,795,928
OG0001905primerGroup2,48,38,62,91,93,185,173,219,205,489,545,718,887,937
OG0001906primerGroup0,33,27,46,70,51,100,114,159,149,371,429,511,621,996
OG0001909primerGroup2,52,82,80,124,129,196,256,323,272,773,836,1194,1263,1388
OG0001910primerGroup6,28,28,29,58,91,110,150,164,148,439,494,563,686,767
OG0001911primerGroup0,15,16,26,51,32,58,74,94,83,245,259,355,435,516
OG0001912primerGroup2,79,69,90,136,169,256,277,363,280,973,982,1388,1561,1568
OG0001914primerGroup0,21,28,33,59,72,85,104,136,126,401,396,606,637,670
OG0001915primerGroup0,32,52,40,98,95,134,160,220,179,599,571,860,867,1066
OG0001916primerGroup6,29,37,38,78,79,129,140,186,175,410,437,601,666,699
OG0001917primerGroup9,38,45,37,65,87,143,149,180,165,451,549,704,870,955
OG0001918primerGroup6,30,36,30,62,96,118,114,138,149,438,420,612,731,734
OG0001919primerGroup0,29,44,27,62,68,114,120,132,130,390,423,605,641,748
OG0001920primerGroup6,38,32,43,100,84,135,123,157,175,571,487,789,885,822
OG0001921primerGroup5,21,25,24,60,52,82,84,108,105,351,339,496,503,736
OG0001922primerGroup4,33,41,40,84,63,97,138,184,150,431,468,647,719,778
OG0001924primerGroup2,19,20,36,49,53,132,176,122,90,358,403,523,608,713
OG0001925primerGroup3,13,33,31,58,68,98,114,135,111,397,459,678,793,742
OG0001926primerGroup7,5,7,8,15,20,33,33,44,33,144,183,246,246,296
OG0001927primerGroup0,29,15,28,53,65,81,136,142,99,394,420,582,621,863
OG0001928primerGroup0,36,20,37,77,107,106,153,184,144,470,563,732,770,1202
OG0001929primerGroup0,34,31,47,65,84,130,138,167,165,409,463,693,679,791
OG0001930primerGroup5,25,36,40,69,71,110,110,127,135,405,374,631,728,554
OG0001931primerGroup1,60,71,59,110,113,150,220,270,210,652,556,886,1023,930
